batch_id,CollectorTankLevel,DifferentialPressure,DryerPressure,AgitatorPower,AgitatorTorque,AgitatorSpeed,JacketTemperatureSP,JacketTemperature,DryerTemperatureSP,DryerTemp,ClockTime
1,0.0,0.648,119.94,127.3,8.01,39.515,100.0,18.697,20.0,19.614,0
1,0.156,1.028,62.902,138.4,8.01,40.26,100.0,38.654,41.161,20.247,1
1,0.981,1.218,56.042,141.1,8.01,37.37,100.0,57.419,57.394,22.018,2
1,1.856,1.262,56.431,140.87,8.01,40.803,100.0,74.791,76.874,21.52,3
1,2.73,1.332,56.82,136.79,8.01,35.893,86.552,89.337,85.059,21.886,4
1,3.605,1.494,57.209,137.56,8.01,39.609,53.396,86.91,87.214,22.664,5
1,4.479,1.548,57.598,136.1,8.011,41.14,54.893,81.861,86.875,23.365,6
1,5.437,1.573,58.087,133.75,8.011,38.172,79.226,84.477,86.469,24.303,7
1,6.551,1.605,58.679,135.25,8.011,37.349,68.117,86.362,86.296,24.622,8
1,7.667,1.669,59.271,131.06,8.011,35.748,58.869,85.325,86.077,25.073,9
1,8.825,1.729,59.837,132.23,8.011,33.382,62.274,84.484,85.938,25.344,10
1,10.062,1.783,60.375,130.35,8.011,43.457,67.556,84.734,85.843,25.314,11
1,11.287,1.827,60.913,130.6,8.011,37.906,66.847,85.265,85.781,25.903,12
1,12.587,1.852,61.325,127.41,8.012,37.837,63.648,85.176,85.741,25.774,13
1,13.862,1.871,61.231,126.23,8.012,36.399,63.028,85.003,85.701,25.807,14
1,15.159,1.917,61.137,126.4,8.012,34.525,64.362,84.878,85.68,25.951,15
1,16.455,1.977,61.043,124.58,8.012,36.594,64.914,84.998,85.668,25.67,16
1,17.755,1.98,60.949,123.97,8.012,31.339,64.486,85.011,85.656,25.802,17
1,19.097,2.015,60.855,122.91,8.012,33.301,63.836,85.01,85.644,25.867,18
1,20.408,2.123,60.761,121.85,8.013,33.394,64.037,85.009,85.632,25.904,19
1,21.712,2.146,60.667,120.91,8.013,38.632,64.374,85.009,85.62,25.915,20
1,23.067,2.17,60.573,119.54,8.013,32.289,64.309,85.008,87.379,25.786,21
1,24.368,2.193,60.479,118.26,8.013,31.273,63.838,85.008,87.428,25.722,22
1,25.685,2.247,60.385,118.07,8.013,33.86,63.485,85.007,87.476,25.658,23
1,26.928,2.302,60.291,117.84,8.013,28.218,63.435,85.006,87.525,25.448,24
1,28.238,2.347,60.197,115.75,8.013,32.433,63.385,85.006,87.54,25.559,25
1,29.486,2.388,60.103,116.13,8.014,38.331,63.335,85.005,87.552,25.479,26
1,30.713,2.406,60.009,114.86,8.014,31.806,63.18,85.005,87.565,25.497,27
1,31.939,2.39,59.915,114.13,8.014,33.014,63.006,85.004,87.578,25.531,28
1,33.165,2.443,59.821,113.78,8.014,31.361,62.832,85.003,87.591,25.566,29
1,34.334,2.489,59.727,113.08,8.014,35.4,62.718,85.003,87.603,25.591,30
1,35.454,2.519,59.633,111.56,8.014,34.231,62.615,85.002,87.616,25.528,31
1,36.575,2.549,59.539,111.79,8.014,32.607,62.511,85.001,87.629,25.484,32
1,37.696,2.582,59.445,111.67,8.015,32.979,62.408,85.001,87.642,25.455,33
1,38.817,2.617,59.276,110.04,8.015,33.165,62.305,85.0,87.654,25.426,34
1,39.938,2.637,58.964,108.75,8.015,29.935,62.202,85.0,87.667,25.397,35
1,41.018,2.75,58.653,108.95,8.015,27.227,62.098,84.999,87.68,25.367,36
1,41.979,2.72,58.341,107.38,8.015,29.742,61.995,84.998,87.693,25.338,37
