FPLot,Lac0001,Lac0002,Lac0003,Lac0004,Lac0005,Lac0006,Lac0007,Lac0008,Lac0009
L001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L002,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
L003,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
L004,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L005,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L006,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L008,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L009,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L010,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L012,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L013,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L014,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L015,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L016,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L017,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L018,0.0,0.21133333333333332,0.0,0.0,0.7886666666666666,0.0,0.0,0.0,0.0
L019,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L020,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L021,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L022,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L023,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L024,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L025,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L026,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L027,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L028,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L029,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L030,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
L031,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
