Lot,var1,var2,var3,var4,var5,var6
TLC001,8.639,19.11,94.98,0.16,17.9,99.9
TLC002,8.647,18.98,95.87,0.13,17.91,99.9
TLC003,8.858,17.84,96.09,0.14,16.4,99.99
TLC004,8.761,18.09,95.68,0.09,17.95,99.9
TLC005,8.761,18.09,96.78,0.17,16.7,99.9
TLC006,8.761,18.09,95.68,0.09,17.95,99.9
TLC007,8.271,18.65,96.78,0.14,16.4,99.9
TLC008,8.271,18.65,96.95,0.16,15.3,99.9
TLC009,8.271,18.65,96.95,0.16,15.3,99.9
TLC011,8.446,18.91,97.05,0.08,16.2,99.9
TLC012,8.446,18.91,97.05,0.08,16.2,99.9
TLC013,8.467,17.71,97.5,0.25,17.34,99.9
TLC014,8.467,17.71,96.46,0.17,17.78,99.9
TLC015,8.467,17.71,96.2,0.1,17.82,99.9
TLC016,8.647,18.98,95.87,0.13,17.91,99.9
TLC017,8.467,17.71,97.5,0.25,17.34,99.9
TLC018,7.874,18.62,95.6,0.14,16.0,99.9
TLC019,7.247,17.46,96.03,0.13,16.5,99.9
TLC020,7.323,19.08,96.34,0.13,16.0,99.9
TLC021,7.323,19.08,96.42,0.15,14.78,100.0
TLC022,8.639,19.11,94.98,0.16,17.9,99.9
TLC023,7.323,19.08,96.42,0.15,14.78,100.0
