Lot #,var1,var2,var3,var4,var5,var6,var7,var8,var9,var10,var11
M0001,0.999,0.12,0.26,17,8.3,206,52.2,99.3,4.9,3.5,7.2
M0002,0.999,0.11,0.24,19,9.0,206,53.2,99.2,4.9,3.3,7.3
M0003,0.998,0.12,0.26,16,8.3,204,53.3,100.0,4.8,3.5,7.0
M0004,1.0,0.12,0.27,17,8.3,207,54.9,100.0,4.8,3.4,6.4
M0005,1.0,0.12,0.27,17,8.3,207,54.9,100.0,4.8,3.4,6.4
M0006,1.0,0.12,0.25,22,9.8,208,55.5,100.0,5.0,3.5,7.4
M0007,1.0,0.13,0.32,29,12.3,207,53.8,100.0,4.8,3.5,7.7
M0008,0.998,0.11,0.27,19,9.5,206,53.6,99.6,5.0,3.6,7.6
M0009,0.999,0.11,0.26,20,9.5,202,53.5,99.6,5.0,3.7,7.4
M0010,1.0,0.12,0.27,17,8.3,207,54.9,100.0,4.8,3.4,7.1
M0011,0.999,0.11,0.26,21,10.3,203,55.2,99.6,4.9,3.6,6.4
M0012,0.999,0.11,0.26,24,12.9,203,67.8,96.7,4.9,3.0,7.1
M0013,0.998,0.11,0.28,24,13.5,202,66.8,95.6,4.9,3.5,6.9
M0014,0.998,0.11,0.28,24,13.5,202,66.8,95.6,4.9,3.5,6.9
M0015,0.998,0.11,0.28,24,13.5,202,66.8,95.6,4.9,3.5,6.9
M0016,0.999,0.11,0.29,25,13.7,204,67.2,95.9,4.9,3.4,7.1
M0017,0.999,0.11,0.26,24,12.9,203,67.8,96.7,4.9,3.0,7.1
M0018,1.0,0.13,0.27,24,10.7,207,54.7,100.0,4.9,3.5,6.9
M0019,,,,24,10.7,207,54.7,100.0,4.9,3.5,6.9
