Temperature,Time,Catalyst,Pressure,Stir,pH,Solvent
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0
-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0
-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0
