Temperature,Time,Catalyst,Pressure,Stir,pH,Solvent,Yield
-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,67.53
1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,85.47
-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,67.72
1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,71.58
-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,64.11
1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,85.84
-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.96
-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,67.23
-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,64.0
1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,73.14
1.0,1.0,1.0,1.0,1.0,1.0,1.0,87.31
-1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,67.08
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,70.3
-1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,63.64
1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,71.97
1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,84.78
