yield_g,JIM5,JIM7,LM18,LM19,LM20,LM7,PAM1,LM16,LM8,2F4,INRA-RU2,INRA-RU1,LM5,LM6,LM13,LM12,LM10,LM11,LM15,LM21,LM22,(CBM3a,(CBM30,BS-400-2,BS-400-3,LM2,JIM8,JIM13,JIM19,MAC207
0.092000,0,56,0,0,41,0,0,0,0,0,0,15,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126000,0,63,0,0,40,0,0,0,0,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.139000,0,63,0,0,47,0,0,0,0,0,0,11,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.148000,0,62,0,0,46,0,0,0,0,0,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.150000,0,71,0,0,47,0,0,0,0,0,0,11,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.158000,0,67,0,0,46,0,0,0,0,0,0,9,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.173000,0,63,0,0,49,0,0,0,0,0,0,9,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.177000,0,61,0,0,47,0,0,0,0,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.183000,0,69,0,0,45,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.203000,0,71,0,0,47,0,0,0,0,0,0,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.210000,0,66,0,0,46,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230000,0,68,0,0,49,0,0,0,0,0,0,6,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231000,0,70,0,0,48,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234000,0,75,0,0,49,0,0,0,0,0,0,7,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.234000,0,76,0,0,51,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.230000,0,76,0,0,52,0,0,0,0,0,0,6,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.252000,0,81,0,0,49,0,0,0,0,0,0,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0
0.256000,0,73,0,0,47,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.266000,0,82,0,0,51,0,0,0,0,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.276000,0,73,0,0,55,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.289000,0,74,0,0,42,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.275000,0,81,0,0,51,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.288000,0,77,0,0,49,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
