Chemical,MeltingPoint,BoilingPoint,Dielectric,DipoleMoment,RefractiveIndex,ET30,Density,logP,Solubility
W01_WATER,0,100,78.3,5.9,1.333,63.1,0.9982,-1.38,1.774
G02_Formamide,2.55,210.5,111,11.2,1.4475,56.6,1.1334,-1.51,1.401
A03_1.2-Ethanediol__,-12.6,197.15,37.7,7.7,1.4318,56.3,1.1088,-1.36,1.06
A04_Methanol,-97.7,64.5,32.66,5.7,1.3284,55.4,0.7914,-0.77,1.393
G05_N-Methyl_formamid,-3.8,182.5,182.4,12.9,1.4319,54.1,1.01,-1.3,1
A06_diethylenglycol,-7.8,245.7,31.69,7.7,1.4475,53.8,1.109,1,1
A07_triethylenglycol,-4.3,288,23.69,10,1.4558,53.5,1.0682,-1.33,0.8521
A08_2-Methoxyethanol,-85.1,124.6,16.93,6.8,1.4021,52.3,0.965,-0.77,1.103
G10_N-Methylacetamid,30.6,206.7,191.3,14.2,1.4253,52,0.957,-1.05,1
A11_Ethanol,-114.5,78.3,24.55,5.8,1.3614,51.9,0.785,-0.31,1.231
A12_2-AminoEthanol,10.5,170.95,37.72,7.6,1.4545,51.8,1.018,-1.31,1.216
F13_Acetic_acid,16.7,117.9,6.17,5.6,1.3719,51.7,1.0492,-0.17,1.002
A15_Benzylalcohol,-15.3,205.45,13.1,5.5,1.5404,50.4,1.042,1.1,-0.992
A14_1-Propanol,-126.2,97.15,20.45,5.5,1.3856,50.7,0.804,0.25,1.126
A16_1-butanol,-88.6,117.7,17.51,5.8,1.3993,50.2,0.8098,0.88,0.125
A19_2-methyl_1-propa,-108,107.9,17.93,6,1.3959,48.6,0.794,0.76,0.176
A20_2-propanol,-88,82.2,19.92,5.5,1.3772,48.4,0.786,0.05,1.117
A21_2_butanol,-114.7,99.5,16.56,5.5,1.3971,47.1,0.808,0.61,0.176
A18_3-methyl_1-butan,-117.2,130.5,15.19,6.1,1.4072,49,0.8092,1.42,-0.518
A22_cyclohexanol,25.15,161.1,15,6.2,1.4648,46.9,0.962,1.23,-0.755
